Hour,GridGreedy_Power,GridGreedy_Cost,GridOptimal_Power,GridOptimal_Cost,SolarSDC_Power,SolarSDC_Cost
1,41.0598,0.0033047,41.0598,0.0033047,41.0598,0.0033047
2,30,0.0107333,30,0.0107333,30,0.0107333
3,30,0.0182667,30,0.0182667,30,0.0182667
4,30,0.00853333,30,0.00853333,30,0.00853333
5,30,0.005,30,0.005,30,0.005
6,30,0.005,30,0.005,30,0.005
7,30,0.005,30,0.005,30,0.005
8,30,0.005,30,0.005,30,0.005
9,30,0.005,30,0.005,30,0.005
10,30,0.005,30,0.005,30,0.005
11,30,0.005,30,0.005,30,0.005
12,30,0.00747231,30,0.00747231,30,0.00747231
13,30,0.0103869,30,0.0103869,30,0.0103869
14,30,0.0104862,30,0.0104862,30,0.0104862
15,30,0.0113403,30,0.0113403,30,0.0113403
16,30,0.0120103,30,0.0120103,30,0.0120103
17,30,0.0119428,30,0.0119428,30,0.0119428
18,30,0.0113003,30,0.0113003,30,0.0113003
19,30,0.00976442,30,0.00976442,30,0.00976442
20,306.894,0.0806059,306.894,0.0806059,306.894,0.0806059
21,1451.57,0.390648,1451.57,0.390648,1451.57,0.390648
22,1191.34,0.331061,1191.34,0.331061,1191.34,0.331061
23,1028.54,0.285821,1028.54,0.285821,1028.54,0.285821
24,66.9013,0.0185912,66.9013,0.0185912,66.9013,0.0185912
